"","-","0","+"
"Bivalves",419,0,581
"D piscivores",531,0,469
"Detritus",490,0,510
"Discards",359,0,641
"Fishery",341,0,659
"Gelatinous zoop",415,0,585
"L benthivores",472,0,528
"Large pelagics",417,0,583
"Macrozoop",497,0,503
"Megabenthos",571,0,429
"Meiofauna",371,0,629
"Mesozoop",503,0,497
"Microflora",683,0,317
"Microzoop",413,0,587
"Other molluscs",506,0,494
"Other pelagic mesopelagic",337,0,663
"Phytoplankton",163,0,837
"Sea birds",477,0,523
"Seals",479,0,521
"Sharks",538,0,462
"Shrimps",548,0,452
"Skates",398,0,602
"Small crab other arthropoda",580,0,420
"Small pelagics",613,0,387
"Squids",556,0,444
"Toothed cetaceans",516,0,484
"Whales",468,0,532
"Worms",402,0,598
